label,precision,recall,f1,support,TP,FP,FN,TN
drama,0.6540499621498864,0.844574780058651,0.7372013651877133,1023,864,457,159,530
comedy,0.7030456852791879,0.4268104776579353,0.5311601150527325,649,277,117,372,1244
thriller,0.7142857142857143,0.1965065502183406,0.3082191780821918,458,90,36,368,1516
romance,0.7325581395348837,0.17403314917127072,0.28125,362,63,23,299,1625
horror,0.8173913043478261,0.2647887323943662,0.39999999999999997,355,94,21,261,1634
action,0.7545454545454545,0.254601226993865,0.38073394495412843,326,83,27,243,1657
adventure,0.7674418604651163,0.11301369863013698,0.19701492537313434,292,33,10,259,1708
crime,0.759493670886076,0.2054794520547945,0.3234501347708895,292,60,19,232,1699
science fiction,0.864406779661017,0.20816326530612245,0.33552631578947373,245,51,8,194,1757
fantasy,0.9,0.08450704225352113,0.15450643776824033,213,18,2,195,1795
mystery,0.9166666666666666,0.06043956043956044,0.1134020618556701,182,11,1,171,1827
animation,0.0,0.0,0.0,177,0,0,177,1833
family,1.0,0.05649717514124294,0.10695187165775402,177,10,0,167,1833
history,0.0,0.0,0.0,87,0,1,87,1922
music,1.0,0.09333333333333334,0.17073170731707318,75,7,0,68,1935
documentary,0.6666666666666666,0.05970149253731343,0.10958904109589042,67,4,2,63,1941
war,0.7142857142857143,0.09803921568627451,0.1724137931034483,51,5,2,46,1957
tv movie,0.0,0.0,0.0,31,0,0,31,1979
western,0.0,0.0,0.0,20,0,0,20,1990
