label,precision,recall,f1,support,TP,FP,FN,TN
drama,0.690625,0.8641251221896383,0.7676943117672601,1023,884,396,139,591
comedy,0.7816091954022989,0.5238828967642527,0.6273062730627307,649,340,95,309,1266
thriller,0.7692307692307693,0.17467248908296942,0.2846975088967971,458,80,24,378,1528
romance,0.84,0.11602209944751381,0.20388349514563103,362,42,8,320,1640
horror,0.9230769230769231,0.3380281690140845,0.49484536082474223,355,120,10,235,1645
action,0.8869565217391304,0.3128834355828221,0.46258503401360546,326,102,13,224,1671
adventure,0.8,0.0684931506849315,0.12618296529968454,292,20,5,272,1713
crime,0.8363636363636363,0.15753424657534246,0.26512968299711814,292,46,9,246,1709
science fiction,0.9428571428571428,0.1346938775510204,0.2357142857142857,245,33,2,212,1763
fantasy,0.7857142857142857,0.051643192488262914,0.09691629955947137,213,11,3,202,1794
mystery,1.0,0.02197802197802198,0.043010752688172046,182,4,0,178,1828
animation,0.875,0.07909604519774012,0.14507772020725387,177,14,2,163,1831
family,0.8666666666666667,0.07344632768361582,0.13541666666666669,177,13,2,164,1831
history,0.0,0.0,0.0,87,0,0,87,1923
music,1.0,0.05333333333333334,0.10126582278481014,75,4,0,71,1935
documentary,1.0,0.05970149253731343,0.11267605633802817,67,4,0,63,1943
war,1.0,0.09803921568627451,0.17857142857142855,51,5,0,46,1959
tv movie,0.0,0.0,0.0,31,0,0,31,1979
western,0.0,0.0,0.0,20,0,0,20,1990
