true,pred,count
drama,a,1887
drama,d,991
drama,m,991
drama,r,990
comedy,a,980
horror,r,795
horror,a,762
moving relationship stories,a,702
thriller,a,684
comedy,d,652
comedy,m,652
crime,a,650
romance,a,606
crude humor and satire,a,576
comedy,r,531
thriller,r,494
humanity and the world around us,a,465
powerful stories of heartbreak and suffering,a,456
touching and sentimental family stories,a,452
horror,d,442
horror,m,442
gags,a,428
jokes,a,428
and slapstick humor,a,428
action,a,426
crude humor and satire,d,400
crude humor and satire,m,400
crime,r,372
thriller,d,371
thriller,m,371
adventure,a,368
intense violence and sexual transgression,a,366
twisted dark psychological thriller,a,366
moving relationship stories,d,365
moving relationship stories,m,365
moving relationship stories,r,363
crime,d,360
crime,m,360
laugh-out-loud relationship entanglements,a,358
funny jokes and crude humor,a,356
the undead and monster classics,r,355
twisted dark psychological thriller,r,344
romance,d,342
romance,m,342
the undead and monster classics,a,340
heartbreaking and moving family drama,a,336
horror,o,333
emotional and touching family dramas,a,332
crude humor and satire,r,323
fantasy,a,323
romance,r,308
relationship comedy,a,300
quirky and endearing relationships,a,300
science fiction,a,300
gags,d,298
gags,m,298
jokes,d,298
jokes,m,298
and slapstick humor,d,298
and slapstick humor,m,298
terrifying,r,298
haunted,r,298
and supernatural horror,r,298
amusing jokes and witty satire,a,292
action,r,292
gory,r,286
gruesome,r,286
and slasher horror,r,286
terrifying,a,286
haunted,a,286
and supernatural horror,a,286
intense violence and sexual transgression,r,275
mystery,a,272
gory,a,268
gruesome,a,268
and slasher horror,a,268
action,d,261
action,m,261
epic heroes,a,254
humanity and the world around us,r,251
funny jokes and crude humor,d,248
funny jokes and crude humor,m,248
humanity and the world around us,d,248
humanity and the world around us,m,248
surreal and thought-provoking visions of life and death,a,248
adventure,d,247
adventure,m,247
charming romances and delightful chemistry,a,240
gags,r,237
jokes,r,237
and slapstick humor,r,237
laugh-out-loud relationship entanglements,d,236
laugh-out-loud relationship entanglements,m,236
touching and sentimental family stories,m,236
touching and sentimental family stories,d,236
powerful stories of heartbreak and suffering,d,231
powerful stories of heartbreak and suffering,m,231
captivating relationships and charming romance,a,230
passion and romance,a,230
science fiction,r,229
powerful stories of heartbreak and suffering,r,228
adventure,r,226
touching and sentimental family stories,r,226
superheroes in action-packed battles with villains,a,220
mystery,r,219
creepy,r,218
chilling,r,218
and terrifying horror,r,218
history,a,216
gothic and eerie haunting horror,r,215
fantasy,d,212
fantasy,m,212
twisted dark psychological thriller,d,201
twisted dark psychological thriller,m,201
funny jokes and crude humor,r,198
fantasy,r,198
gothic and eerie haunting horror,a,196
animation,a,194
the undead and monster classics,d,194
the undead and monster classics,m,194
intense violence and sexual transgression,d,193
intense violence and sexual transgression,m,193
suspenseful crime thrillers,a,192
dreamlike,a,190
quirky,a,190
and surreal storytelling,a,190
creepy,a,190
chilling,a,190
and terrifying horror,a,190
comedy,o,188
family,a,188
relationship comedy,d,187
relationship comedy,m,187
challenging or sexual themes & twists,a,186
amusing jokes and witty satire,d,184
amusing jokes and witty satire,m,184
enduring stories of family and marital drama,a,184
epic heroes,r,183
catchy songs and hilarious musical comedy,a,182
emotional teen coming-of-age stories,a,182
science fiction,d,182
science fiction,m,182
laugh-out-loud relationship entanglements,r,179
drugs and gangsters,a,178
emotional and touching family dramas,d,176
emotional and touching family dramas,m,176
quirky and endearing relationships,d,175
quirky and endearing relationships,m,175
politics and human rights,a,174
family,m,173
family,d,173
thrillers and murder mysteries,a,172
superheroes in action-packed battles with villains,r,170
heartbreaking and moving family drama,d,169
heartbreaking and moving family drama,m,169
emotional and touching family dramas,r,169
heartbreaking and moving family drama,r,168
high speed and special ops,a,166
underdogs and coming of age,a,164
powerful poetic and passionate drama,a,164
violent action,a,164
guns,a,164
and crime,a,164
comedy,e,163
comedy,c,162
comedy,y,162
terrifying,d,160
terrifying,m,160
haunted,d,160
haunted,m,160
and supernatural horror,d,160
and supernatural horror,m,160
epic heroes,d,158
epic heroes,m,158
animation,d,156
animation,m,156
gory,d,156
gory,m,156
gruesome,d,156
gruesome,m,156
and slasher horror,d,156
and slasher horror,m,156
amusing jokes and witty satire,r,155
mystery,d,152
mystery,m,152
relationship comedy,r,150
quirky and endearing relationships,r,150
intense political and terrorist thrillers,a,148
the undead and monster classics,o,146
kids' animated fun and adventure,a,144
emotional and captivating fantasy storytelling,a,144
intriguing and suspenseful murder mysteries,a,142
suspenseful crime thrillers,r,141
thrillers and murder mysteries,r,140
horror,h,139
explosive and action-packed heroes vs. villains,a,138
gripping,a,138
intense violent crime,a,138
superheroes in action-packed battles with villains,d,137
superheroes in action-packed battles with villains,m,137
kids' animated fun and adventure,m,136
kids' animated fun and adventure,d,136
music,a,136
surreal and thought-provoking visions of life and death,r,135
charming romances and delightful chemistry,d,134
charming romances and delightful chemistry,m,134
crude humor and satire,o,134
action comedy and silly heroics,a,132
gritty crime and ruthless gangsters,a,132
graphic violence and brutal revenge,a,132
high speed and special ops,r,131
song and dance,a,130
noir and dark crime dramas,a,130
catchy songs and hilarious musical comedy,d,129
catchy songs and hilarious musical comedy,m,129
surreal and thought-provoking visions of life and death,m,128
surreal and thought-provoking visions of life and death,d,128
gory,o,122
gruesome,o,122
and slasher horror,o,122
captivating relationships and charming romance,m,121
captivating relationships and charming romance,d,121
charming romances and delightful chemistry,r,120
twisted dark psychological thriller,o,120
animation,r,119
terrifying,o,119
haunted,o,119
and supernatural horror,o,119
captivating relationships and charming romance,r,118
documentary,a,118
passion and romance,d,117
passion and romance,m,117
thought-provoking sci-fi action and future technology,a,116
passion and romance,r,115
intriguing and suspenseful murder mysteries,r,115
explosive and action-packed heroes vs. villains,r,114
erotic relationships and desire,a,114
crude humor and satire,e,113
crude humor and satire,c,112
crude humor and satire,y,112
heists and thrilling action,a,112
dreamlike,r,112
quirky,r,112
and surreal storytelling,r,112
monsters,a,112
aliens,a,112
sci-fi and the apocalypse,a,112
fantasy adventure,a,111
heroism,a,111
and swordplay,a,111
teen school antics and laughter,a,110
war and historical adventure,a,110
violent crime and drugs,a,110
history,d,110
history,m,110
underdogs and coming of age,d,109
underdogs and coming of age,m,109
action comedy and silly heroics,r,109
gothic and eerie haunting horror,d,109
gothic and eerie haunting horror,m,109
creepy,d,109
creepy,m,109
chilling,d,109
chilling,m,109
and terrifying horror,d,109
and terrifying horror,m,109
thriller,o,109
history,r,108
challenging or sexual themes & twists,r,105
student coming-of-age challenges,a,104
dreamlike,m,104
dreamlike,d,104
quirky,m,104
quirky,d,104
and surreal storytelling,m,104
and surreal storytelling,d,104
war,a,104
high speed and special ops,d,102
high speed and special ops,m,102
adorable animals and heartwarming families,a,102
historical battles and epic heroism,a,101
suspenseful crime thrillers,d,101
suspenseful crime thrillers,m,101
challenging or sexual themes & twists,d,100
challenging or sexual themes & twists,m,100
action comedy and silly heroics,d,100
action comedy and silly heroics,m,100
family,r,100
sci-fi horror,r,100
creatures,r,100
and aliens,r,100
epic history and literature,a,100
emotional teen coming-of-age stories,d,99
emotional teen coming-of-age stories,m,99
gags,o,98
jokes,o,98
and slapstick humor,o,98
drugs and gangsters,d,98
drugs and gangsters,m,98
creepy,o,96
chilling,o,96
and terrifying horror,o,96
emotional lgbtq relationships,a,96
catchy songs and hilarious musical comedy,r,94
sci-fi horror,a,94
creatures,a,94
and aliens,a,94
noir and dark crime dramas,r,93
graphic violence and brutal revenge,r,93
explosive and action-packed heroes vs. villains,d,92
explosive and action-packed heroes vs. villains,m,92
enduring stories of family and marital drama,d,92
enduring stories of family and marital drama,r,92
enduring stories of family and marital drama,m,92
teen school antics and laughter,d,92
teen school antics and laughter,m,92
drugs and gangsters,r,92
underdogs and coming of age,r,91
emotional teen coming-of-age stories,r,91
violent action,r,91
guns,r,91
and crime,r,91
monsters,r,91
aliens,r,91
sci-fi and the apocalypse,r,91
politics and human rights,d,90
politics and human rights,m,90
faith and religion,a,90
thrillers and murder mysteries,d,90
thrillers and murder mysteries,m,90
thought-provoking sci-fi action and future technology,r,90
action,o,89
gothic and eerie haunting horror,o,89
military combat and heroic soldiers,a,88
violent action,d,88
violent action,m,88
guns,d,88
guns,m,88
and crime,d,88
and crime,m,88
dazzling vocal performances and musicals,a,88
holiday joy and heartwarming christmas,a,88
politics and human rights,r,87
racism and the powerful fight for justice,a,86
tragic sadness and captivating beauty,a,86
emotional and captivating fantasy storytelling,d,86
emotional and captivating fantasy storytelling,m,86
science fiction,o,85
gags,e,85
jokes,e,85
and slapstick humor,e,85
song and dance,d,85
song and dance,m,85
adrenaline-fueled action and fast cars,a,85
action-packed space and alien sagas,a,85
adventure,o,84
gags,c,84
gags,y,84
jokes,c,84
jokes,y,84
and slapstick humor,c,84
and slapstick humor,y,84
music,d,84
music,m,84
emotional life of renowned artists,a,84
family,o,83
powerful poetic and passionate drama,d,82
powerful poetic and passionate drama,r,82
powerful poetic and passionate drama,m,82
riveting political and presidential drama,a,82
political drama,a,82
patriotism,a,82
and war,a,82
intense political and terrorist thrillers,r,82
funny jokes and crude humor,o,82
holiday joy and heartwarming christmas,m,81
holiday joy and heartwarming christmas,d,81
adorable animals and heartwarming families,d,81
adorable animals and heartwarming families,m,81
intense political and terrorist thrillers,d,79
intense political and terrorist thrillers,m,79
fantasy,o,79
drama,o,79
family,c,79
family,e,79
family,y,79
fantasy adventure,r,78
heroism,r,78
and swordplay,r,78
kids' animated fun and adventure,r,78
animation,o,76
intriguing and suspenseful murder mysteries,d,75
intriguing and suspenseful murder mysteries,m,75
fascinating,a,74
emotional stories and documentaries,a,74
gripping,r,74
intense violent crime,r,74
fairy-tale fantasy and enchanted magic,a,74
politics,a,74
propaganda,a,74
and political documentaries,a,74
adventure,e,72
gripping,d,72
gripping,m,72
intense violent crime,d,72
intense violent crime,m,72
emotional and captivating fantasy storytelling,r,72
monsters,d,72
monsters,m,72
aliens,d,72
aliens,m,72
sci-fi and the apocalypse,d,72
sci-fi and the apocalypse,m,72
funny jokes and crude humor,e,71
funny jokes and crude humor,c,70
funny jokes and crude humor,y,70
graphic violence and brutal revenge,d,70
graphic violence and brutal revenge,m,70
fantasy adventure,d,70
fantasy adventure,m,70
heroism,d,70
heroism,m,70
and swordplay,d,70
and swordplay,m,70
mystery,o,70
intense violence and sexual transgression,o,70
gritty crime and ruthless gangsters,d,69
gritty crime and ruthless gangsters,m,69
kids' animated fun and adventure,o,68
song and dance,r,68
music,r,68
action,e,68
thought-provoking sci-fi action and future technology,d,68
thought-provoking sci-fi action and future technology,m,68
noir and dark crime dramas,d,67
noir and dark crime dramas,m,67
adrenaline-fueled action and fast cars,r,67
spooky,r,66
scary comedy,r,66
adventure,c,66
heists and thrilling action,r,66
gritty crime and ruthless gangsters,r,66
spooky,a,66
scary comedy,a,66
fairy-tale fantasy and enchanted magic,d,65
fairy-tale fantasy and enchanted magic,m,65
adventure,y,64
kids' animated fun and adventure,c,64
kids' animated fun and adventure,e,64
kids' animated fun and adventure,y,64
heists and thrilling action,d,64
heists and thrilling action,m,64
documentary,d,64
documentary,m,64
action-packed space and alien sagas,r,64
horror,e,64
erotic relationships and desire,r,63
imaginative space odysseys and alien encounters,a,63
student coming-of-age challenges,d,62
student coming-of-age challenges,m,62
epic heroes,o,62
the undead and monster classics,h,62
superheroes in action-packed battles with villains,o,62
animation,c,62
exciting spy thrillers with tense intrigue,a,62
intense combat and martial arts,a,62
documentary,r,62
dazzling vocal performances and musicals,d,62
dazzling vocal performances and musicals,m,62
animation,e,61
horror,c,61
horror,y,61
animation,y,60
war and historical adventure,r,59
erotic relationships and desire,d,59
erotic relationships and desire,m,59
survival horror and zombie carnage,r,59
religious faith,a,58
sin,a,58
and forgiveness,a,58
teen school antics and laughter,r,58
violent crime and drugs,d,58
violent crime and drugs,r,58
violent crime and drugs,m,58
epic adventure and breathtaking battles,a,58
laugh-out-loud relationship entanglements,c,57
laugh-out-loud relationship entanglements,o,57
laugh-out-loud relationship entanglements,e,57
laugh-out-loud relationship entanglements,y,57
action,c,57
adorable animals and heartwarming families,r,57
crime,o,57
war and historical adventure,d,56
war and historical adventure,m,56
historical battles and epic heroism,r,56
legendary musicians and stardom,a,56
thriller,h,56
brutal,a,56
violent prison drama,a,56
fantasy,c,55
twisted dark psychological thriller,h,55
sci-fi horror,d,55
sci-fi horror,m,55
creatures,d,55
creatures,m,55
and aliens,d,55
and aliens,m,55
action-packed space and alien sagas,d,55
action-packed space and alien sagas,m,55
historical battles and epic heroism,d,54
historical battles and epic heroism,m,54
war,d,54
war,m,54
adrenaline-fueled action and fast cars,d,54
adrenaline-fueled action and fast cars,m,54
bloody vampire horror,r,53
action comedy and silly heroics,o,53
fantasy,e,53
epic history and literature,d,53
epic history and literature,m,53
student coming-of-age challenges,r,52
terrifying,h,52
haunted,h,52
and supernatural horror,h,52
fantasy,y,52
war,r,52
exciting spy thrillers with tense intrigue,r,52
western,a,52
bloody vampire horror,a,52
survival horror and zombie carnage,a,52
gory,h,51
gruesome,h,51
and slasher horror,h,51
faith and religion,r,51
action,y,51
holiday joy and heartwarming christmas,r,50
epic history and literature,r,50
drama,c,49
drama,e,49
spooky,d,49
spooky,m,49
scary comedy,d,49
scary comedy,m,49
drama,y,48
emotional lgbtq relationships,d,48
emotional lgbtq relationships,r,48
emotional lgbtq relationships,m,48
epic heroes,e,47
imaginative space odysseys and alien encounters,r,47
intense combat and martial arts,r,46
military combat and heroic soldiers,r,46
dance rhythms and catchy tunes,a,46
westerns,a,46
