true,pred,count
drama,drama,850
comedy,drama,407
moving relationship stories,drama,334
horror,drama,315
romance,drama,313
comedy,comedy,271
thriller,drama,256
crime,drama,228
touching and sentimental family stories,drama,215
powerful stories of heartbreak and suffering,drama,212
crude humor and satire,drama,206
humanity and the world around us,drama,202
intense violence and sexual transgression,drama,174
laugh-out-loud relationship entanglements,drama,170
crude humor and satire,comedy,169
horror,horror,162
twisted dark psychological thriller,drama,156
relationship comedy,drama,154
gags,drama,151
jokes,drama,151
and slapstick humor,drama,151
emotional and touching family dramas,drama,149
drama,comedy,145
the undead and monster classics,drama,142
gags,comedy,139
jokes,comedy,139
and slapstick humor,comedy,139
quirky and endearing relationships,drama,137
heartbreaking and moving family drama,drama,136
action,drama,131
adventure,drama,131
terrifying,drama,129
haunted,drama,129
and supernatural horror,drama,129
captivating relationships and charming romance,drama,128
fantasy,drama,125
surreal and thought-provoking visions of life and death,drama,122
laugh-out-loud relationship entanglements,comedy,121
funny jokes and crude humor,drama,119
charming romances and delightful chemistry,drama,118
funny jokes and crude humor,comedy,110
passion and romance,drama,105
emotional teen coming-of-age stories,drama,104
mystery,drama,103
romance,comedy,103
science fiction,drama,99
relationship comedy,comedy,98
amusing jokes and witty satire,drama,97
action,action,97
gothic and eerie haunting horror,drama,96
gory,drama,95
gruesome,drama,95
and slasher horror,drama,95
creepy,drama,93
chilling,drama,93
and terrifying horror,drama,93
enduring stories of family and marital drama,drama,92
thriller,thriller,92
dreamlike,drama,88
quirky,drama,88
and surreal storytelling,drama,88
crime,crime,88
history,drama,85
quirky and endearing relationships,comedy,82
powerful poetic and passionate drama,drama,79
animation,drama,79
catchy songs and hilarious musical comedy,comedy,77
family,comedy,76
underdogs and coming of age,drama,74
drugs and gangsters,drama,73
crime,thriller,73
the undead and monster classics,horror,72
challenging or sexual themes & twists,drama,71
amusing jokes and witty satire,comedy,71
terrifying,horror,71
haunted,horror,71
and supernatural horror,horror,71
epic heroes,drama,71
romance,romance,70
moving relationship stories,comedy,69
epic heroes,action,68
erotic relationships and desire,drama,65
kids' animated fun and adventure,comedy,65
gripping,drama,65
intense violent crime,drama,65
family,drama,64
catchy songs and hilarious musical comedy,drama,63
politics and human rights,drama,63
thrillers and murder mysteries,drama,62
emotional and captivating fantasy storytelling,drama,62
drama,romance,62
adventure,comedy,61
gory,horror,61
gruesome,horror,61
and slasher horror,horror,61
suspenseful crime thrillers,drama,60
teen school antics and laughter,comedy,60
horror,thriller,60
superheroes in action-packed battles with villains,drama,60
superheroes in action-packed battles with villains,action,57
music,drama,57
animation,comedy,57
creepy,horror,57
chilling,horror,57
and terrifying horror,horror,57
violent action,drama,56
guns,drama,56
and crime,drama,56
documentary,drama,55
intense political and terrorist thrillers,drama,54
violent crime and drugs,drama,54
charming romances and delightful chemistry,comedy,54
thriller,action,54
action,thriller,54
student coming-of-age challenges,drama,53
teen school antics and laughter,drama,53
underdogs and coming of age,comedy,52
high speed and special ops,action,52
touching and sentimental family stories,comedy,52
drama,moving relationship stories,51
emotional lgbtq relationships,drama,50
song and dance,drama,50
historical battles and epic heroism,drama,50
adventure,action,49
explosive and action-packed heroes vs. villains,action,49
gothic and eerie haunting horror,horror,49
science fiction,science fiction,49
horror,comedy,48
graphic violence and brutal revenge,drama,48
war and historical adventure,drama,48
gritty crime and ruthless gangsters,drama,46
horror,twisted dark psychological thriller,46
war,drama,46
crime,action,46
epic history and literature,drama,45
comedy,romance,45
twisted dark psychological thriller,horror,45
kids' animated fun and adventure,drama,45
fantasy adventure,drama,45
heroism,drama,45
and swordplay,drama,45
fantasy,comedy,44
noir and dark crime dramas,drama,44
racism and the powerful fight for justice,drama,44
thriller,horror,43
twisted dark psychological thriller,thriller,43
explosive and action-packed heroes vs. villains,drama,43
high speed and special ops,thriller,43
high speed and special ops,drama,42
thriller,crime,42
science fiction,action,41
military combat and heroic soldiers,drama,41
explosive and action-packed heroes vs. villains,thriller,41
horror,the undead and monster classics,40
intriguing and suspenseful murder mysteries,drama,39
powerful stories of heartbreak and suffering,comedy,39
holiday joy and heartwarming christmas,comedy,38
political drama,drama,38
patriotism,drama,38
and war,drama,38
tragic sadness and captivating beauty,drama,38
moving relationship stories,moving relationship stories,37
riveting political and presidential drama,drama,37
drama,thriller,37
action comedy and silly heroics,drama,36
romance,moving relationship stories,36
heists and thrilling action,drama,36
moving relationship stories,romance,36
adrenaline-fueled action and fast cars,drama,36
crime,comedy,36
fascinating,drama,35
emotional stories and documentaries,drama,35
action,comedy,35
violent action,crime,34
guns,crime,34
and crime,crime,34
action comedy and silly heroics,action,34
emotional and touching family dramas,comedy,34
brutal,drama,33
violent prison drama,drama,33
drugs and gangsters,crime,33
suspenseful crime thrillers,thriller,33
action comedy and silly heroics,comedy,33
intense violence and sexual transgression,horror,33
emotional teen coming-of-age stories,comedy,33
monsters,science fiction,33
aliens,science fiction,33
sci-fi and the apocalypse,science fiction,33
dazzling vocal performances and musicals,drama,32
fairy-tale fantasy and enchanted magic,drama,32
science fiction,comedy,32
thought-provoking sci-fi action and future technology,drama,32
faith and religion,drama,31
