label,precision,recall,f1,support,TP,FP,FN,TN
drama,0.6386175807663411,0.8568548387096774,0.7318123116659492,992,850,481,142,537
comedy,0.6878172588832487,0.40813253012048195,0.5122873345935728,664,271,123,393,1223
thriller,0.7540983606557377,0.20309050772626933,0.32,453,92,30,361,1527
crude humor and satire,0.7916666666666666,0.04896907216494845,0.09223300970873786,388,19,5,369,1617
moving relationship stories,0.6379310344827587,0.1,0.17289719626168223,370,37,21,333,1619
romance,0.8333333333333334,0.19230769230769232,0.3125,364,70,14,294,1632
horror,0.8679245283018868,0.26062322946175637,0.4008714596949891,353,92,14,261,1643
action,0.8067226890756303,0.2962962962962963,0.43340857787810383,324,96,23,228,1663
gags,0.6666666666666666,0.006644518272425249,0.013157894736842105,301,2,1,299,1708
and slapstick humor,0.6666666666666666,0.006644518272425249,0.013157894736842105,301,2,1,299,1708
jokes,0.6666666666666666,0.006644518272425249,0.013157894736842105,301,2,1,299,1708
adventure,0.6923076923076923,0.09060402684563758,0.1602373887240356,298,27,12,271,1700
crime,0.8169014084507042,0.2049469964664311,0.3276836158192091,283,58,13,225,1714
the undead and monster classics,0.6923076923076923,0.06766917293233082,0.1232876712328767,266,18,8,248,1736
twisted dark psychological thriller,0.7878787878787878,0.10038610038610038,0.1780821917808219,259,26,7,233,1744
laugh-out-loud relationship entanglements,0.6666666666666666,0.015503875968992248,0.0303030303030303,258,4,2,254,1750
intense violence and sexual transgression,0.5,0.008264462809917356,0.016260162601626018,242,2,2,240,1766
touching and sentimental family stories,0.5833333333333334,0.029535864978902954,0.05622489959839358,237,7,5,230,1768
haunted,0.8181818181818182,0.038461538461538464,0.07346938775510205,234,9,2,225,1774
and supernatural horror,0.8181818181818182,0.038461538461538464,0.07346938775510205,234,9,2,225,1774
terrifying,0.8181818181818182,0.038461538461538464,0.07346938775510205,234,9,2,225,1774
funny jokes and crude humor,1.0,0.004291845493562232,0.008547008547008546,233,1,0,232,1777
powerful stories of heartbreak and suffering,0.0,0.0,0.0,233,0,2,233,1775
science fiction,0.875,0.21120689655172414,0.34027777777777773,232,49,7,183,1771
fantasy,0.8947368421052632,0.07391304347826087,0.13654618473895583,230,17,2,213,1778
humanity and the world around us,0.0,0.0,0.0,226,0,0,226,1784
relationship comedy,0.0,0.0,0.0,218,0,0,218,1792
gory,0.6363636363636364,0.035,0.06635071090047394,200,7,4,193,1806
and slasher horror,0.6363636363636364,0.035,0.06635071090047394,200,7,4,193,1806
gruesome,0.6363636363636364,0.035,0.06635071090047394,200,7,4,193,1806
epic heroes,0.7894736842105263,0.07653061224489796,0.13953488372093023,196,15,4,181,1810
mystery,1.0,0.0374331550802139,0.07216494845360824,187,7,0,180,1823
