true,pred,count
drama,drama,865
comedy,drama,362
moving relationship stories,drama,340
comedy,comedy,330
romance,drama,300
horror,drama,270
thriller,drama,251
crime,drama,237
crude humor and satire,comedy,225
powerful stories of heartbreak and suffering,drama,217
horror,horror,216
touching and sentimental family stories,drama,210
humanity and the world around us,drama,206
gags,comedy,184
jokes,comedy,184
and slapstick humor,comedy,184
crude humor and satire,drama,173
intense violence and sexual transgression,drama,168
laugh-out-loud relationship entanglements,comedy,154
emotional and touching family dramas,drama,151
twisted dark psychological thriller,drama,150
laugh-out-loud relationship entanglements,drama,149
funny jokes and crude humor,comedy,147
relationship comedy,drama,142
heartbreaking and moving family drama,drama,140
quirky and endearing relationships,drama,127
captivating relationships and charming romance,drama,125
fantasy,drama,123
gags,drama,122
jokes,drama,122
and slapstick humor,drama,122
the undead and monster classics,drama,121
surreal and thought-provoking visions of life and death,drama,121
relationship comedy,comedy,119
terrifying,drama,117
haunted,drama,117
and supernatural horror,drama,117
action,drama,117
adventure,drama,116
mystery,drama,114
charming romances and delightful chemistry,drama,113
drama,comedy,111
romance,comedy,108
emotional teen coming-of-age stories,drama,105
passion and romance,drama,103
action,action,103
amusing jokes and witty satire,comedy,101
the undead and monster classics,horror,97
funny jokes and crude humor,drama,96
enduring stories of family and marital drama,drama,95
dreamlike,drama,92
quirky,drama,92
and surreal storytelling,drama,92
quirky and endearing relationships,comedy,91
horror,the undead and monster classics,88
history,drama,87
thriller,thriller,87
catchy songs and hilarious musical comedy,comedy,87
terrifying,horror,86
haunted,horror,86
and supernatural horror,horror,86
science fiction,drama,84
gothic and eerie haunting horror,drama,83
gory,horror,82
gruesome,horror,82
and slasher horror,horror,82
family,comedy,82
animation,drama,81
powerful poetic and passionate drama,drama,80
gory,drama,80
gruesome,drama,80
and slasher horror,drama,80
kids' animated fun and adventure,comedy,80
creepy,drama,79
chilling,drama,79
and terrifying horror,drama,79
challenging or sexual themes & twists,drama,78
underdogs and coming of age,drama,77
epic heroes,action,77
crime,crime,77
gripping,drama,74
intense violent crime,drama,74
amusing jokes and witty satire,drama,73
adventure,comedy,72
teen school antics and laughter,comedy,71
drugs and gangsters,drama,70
gothic and eerie haunting horror,horror,70
creepy,horror,70
chilling,horror,70
and terrifying horror,horror,70
suspenseful crime thrillers,drama,69
superheroes in action-packed battles with villains,action,69
politics and human rights,drama,68
horror,comedy,68
erotic relationships and desire,drama,67
epic heroes,drama,67
crime,thriller,66
thrillers and murder mysteries,drama,65
emotional and captivating fantasy storytelling,drama,64
charming romances and delightful chemistry,comedy,62
family,drama,61
horror,thriller,61
violent crime and drugs,drama,58
documentary,drama,58
action comedy and silly heroics,comedy,58
intense political and terrorist thrillers,drama,57
noir and dark crime dramas,drama,57
music,drama,57
student coming-of-age challenges,drama,56
violent action,drama,56
guns,drama,56
and crime,drama,56
twisted dark psychological thriller,horror,56
adventure,action,55
song and dance,drama,55
emotional lgbtq relationships,drama,54
action,thriller,53
drama,moving relationship stories,53
animation,comedy,53
catchy songs and hilarious musical comedy,drama,52
thriller,action,52
explosive and action-packed heroes vs. villains,action,51
action,comedy,51
thriller,horror,51
war and historical adventure,drama,51
intriguing and suspenseful murder mysteries,drama,50
high speed and special ops,action,50
fantasy,comedy,50
historical battles and epic heroism,drama,50
war,drama,50
epic history and literature,drama,48
superheroes in action-packed battles with villains,drama,48
graphic violence and brutal revenge,drama,47
teen school antics and laughter,drama,47
explosive and action-packed heroes vs. villains,drama,47
gritty crime and ruthless gangsters,drama,46
touching and sentimental family stories,comedy,46
twisted dark psychological thriller,thriller,45
high speed and special ops,drama,45
underdogs and coming of age,comedy,45
military combat and heroic soldiers,drama,45
racism and the powerful fight for justice,drama,44
moving relationship stories,comedy,44
high speed and special ops,thriller,43
intense violence and sexual transgression,horror,43
science fiction,action,42
holiday joy and heartwarming christmas,comedy,42
horror,and supernatural horror,42
horror,haunted,42
horror,terrifying,42
the undead and monster classics,the undead and monster classics,42
thriller,crime,42
romance,romance,41
science fiction,science fiction,41
moving relationship stories,moving relationship stories,41
fantasy adventure,drama,41
heroism,drama,41
and swordplay,drama,41
horror,twisted dark psychological thriller,40
crime,comedy,40
tragic sadness and captivating beauty,drama,40
fascinating,drama,39
emotional stories and documentaries,drama,39
drama,thriller,39
drama,romance,38
comedy,crude humor and satire,38
terrifying,the undead and monster classics,38
haunted,the undead and monster classics,38
and supernatural horror,the undead and monster classics,38
explosive and action-packed heroes vs. villains,thriller,38
political drama,drama,38
patriotism,drama,38
and war,drama,38
violent action,crime,38
guns,crime,38
and crime,crime,38
science fiction,comedy,37
thriller,comedy,37
heists and thrilling action,drama,36
riveting political and presidential drama,drama,36
crime,action,36
dazzling vocal performances and musicals,drama,36
gory,the undead and monster classics,35
gruesome,the undead and monster classics,35
and slasher horror,the undead and monster classics,35
crude humor and satire,crude humor and satire,35
fairy-tale fantasy and enchanted magic,drama,35
faith and religion,drama,34
emotional life of renowned artists,drama,34
drugs and gangsters,crime,34
creepy,the undead and monster classics,34
chilling,the undead and monster classics,34
and terrifying horror,the undead and monster classics,34
kids' animated fun and adventure,drama,33
action comedy and silly heroics,action,33
gags,crude humor and satire,33
jokes,crude humor and satire,33
and slapstick humor,crude humor and satire,33
adorable animals and heartwarming families,comedy,33
adrenaline-fueled action and fast cars,drama,32
brutal,drama,32
violent prison drama,drama,32
thought-provoking sci-fi action and future technology,drama,32
horror,and slasher horror,32
horror,gory,32
horror,gruesome,32
adrenaline-fueled action and fast cars,action,31
violent action,thriller,31
guns,thriller,31
and crime,thriller,31
monsters,science fiction,31
aliens,science fiction,31
sci-fi and the apocalypse,science fiction,31
gory,thriller,31
gruesome,thriller,31
and slasher horror,thriller,31
nazis and world war ii,drama,31
gritty crime and ruthless gangsters,crime,31
spooky,comedy,31
scary comedy,comedy,31
sci-fi horror,horror,30
creatures,horror,30
and aliens,horror,30
gothic and eerie haunting horror,the undead and monster classics,30
suspenseful crime thrillers,thriller,29
touching and sentimental family stories,moving relationship stories,29
powerful stories of heartbreak and suffering,moving relationship stories,29
mystery,horror,29
the undead and monster classics,comedy,29
emotional and touching family dramas,comedy,29
action-packed space and alien sagas,science fiction,28
adorable animals and heartwarming families,drama,27
action,crime,27
the undead and monster classics,thriller,27
romance,moving relationship stories,27
legendary musicians and stardom,drama,27
violent action,action,27
guns,action,27
and crime,action,27
politics,drama,26
propaganda,drama,26
and political documentaries,drama,26
epic heroes,comedy,26
inspiring sports underdog stories,drama,26
fairy-tale fantasy and enchanted magic,comedy,26
intense violence and sexual transgression,thriller,26
religious faith,drama,25
sin,drama,25
and forgiveness,drama,25
drama,crime,25
drugs and gangsters,thriller,25
terrifying,thriller,25
haunted,thriller,25
and supernatural horror,thriller,25
intense combat and martial arts,action,25
funny jokes and crude humor,crude humor and satire,25
heartbreaking and moving family drama,moving relationship stories,25
holiday joy and heartwarming christmas,drama,25
emotional and touching family dramas,moving relationship stories,24
science fiction,horror,24
superheroes in action-packed battles with villains,comedy,24
amusing jokes and witty satire,crude humor and satire,24
thought-provoking sci-fi action and future technology,science fiction,23
imaginative space odysseys and alien encounters,science fiction,23
comedy,action,23
comedy,romance,23
laugh-out-loud relationship entanglements,crude humor and satire,23
sci-fi horror,drama,23
creatures,drama,23
and aliens,drama,23
action,science fiction,23
thrillers and murder mysteries,thriller,22
heists and thrilling action,thriller,22
adventure,adventure,22
monsters,drama,22
aliens,drama,22
sci-fi and the apocalypse,drama,22
western,drama,22
exciting spy thrillers with tense intrigue,drama,22
dance rhythms and catchy tunes,drama,22
terrifying,and supernatural horror,21
terrifying,haunted,21
terrifying,terrifying,21
haunted,and supernatural horror,21
haunted,haunted,21
haunted,terrifying,21
and supernatural horror,and supernatural horror,21
and supernatural horror,haunted,21
and supernatural horror,terrifying,21
catchy songs and hilarious musical comedy,crude humor and satire,21
thought-provoking sci-fi action and future technology,action,21
emotional teen coming-of-age stories,comedy,21
adventure,science fiction,21
violent crime and drugs,crime,20
crude humor and satire,action,20
relationship comedy,crude humor and satire,20
the undead and monster classics,and supernatural horror,20
the undead and monster classics,haunted,20
the undead and monster classics,terrifying,20
survival horror and zombie carnage,horror,20
song and dance,comedy,20
the undead and monster classics,twisted dark psychological thriller,20
gory,twisted dark psychological thriller,20
gruesome,twisted dark psychological thriller,20
and slasher horror,twisted dark psychological thriller,20
twisted dark psychological thriller,twisted dark psychological thriller,20
captivating vision and shakespearean drama,drama,20
moving relationship stories,romance,20
westerns,drama,20
tv movie,drama,20
comedy,horror,20
intense combat and martial arts,drama,20
noir and dark crime dramas,thriller,19
gory,and supernatural horror,19
gory,haunted,19
gory,terrifying,19
gruesome,and supernatural horror,19
gruesome,haunted,19
gruesome,terrifying,19
and slasher horror,and supernatural horror,19
and slasher horror,haunted,19
and slasher horror,terrifying,19
science fiction,thriller,19
action-packed space and alien sagas,drama,19
music,comedy,19
epic adventure and breathtaking battles,drama,19
powerful stories of heartbreak and suffering,comedy,19
twisted dark psychological thriller,comedy,19
drama,action,19
twisted dark psychological thriller,the undead and monster classics,19
creepy,and supernatural horror,19
creepy,haunted,19
creepy,terrifying,19
chilling,and supernatural horror,19
chilling,haunted,19
chilling,terrifying,19
and terrifying horror,and supernatural horror,19
and terrifying horror,haunted,19
and terrifying horror,terrifying,19
adrenaline-fueled action and fast cars,thriller,19
heists and thrilling action,crime,19
gags,action,18
jokes,action,18
and slapstick humor,action,18
chilling experiments and classic monster horror,horror,18
epic heroes,thriller,18
relationship comedy,romance,18
wild west outlaws and gunfights,drama,18
high speed and special ops,comedy,18
superheroes in action-packed battles with villains,science fiction,18
mystery,comedy,18
gory,comedy,18
gruesome,comedy,18
and slasher horror,comedy,18
action comedy and silly heroics,drama,17
intriguing and suspenseful murder mysteries,thriller,17
mystery,thriller,17
emotional teen coming-of-age stories,moving relationship stories,17
fantasy,action,17
terrifying,twisted dark psychological thriller,17
haunted,twisted dark psychological thriller,17
and supernatural horror,twisted dark psychological thriller,17
exciting spy thrillers with tense intrigue,thriller,17
gothic and eerie haunting horror,and supernatural horror,17
gothic and eerie haunting horror,haunted,17
gothic and eerie haunting horror,terrifying,17
thrillers and murder mysteries,crime,16
gritty crime and ruthless gangsters,thriller,16
horror,science fiction,16
fantasy adventure,action,16
heroism,action,16
and swordplay,action,16
adventure,thriller,16
bravery in war,drama,16
action-packed space and alien sagas,action,16
terrifying,comedy,16
haunted,comedy,16
and supernatural horror,comedy,16
suspenseful crime thrillers,crime,16
the undead and monster classics,and slasher horror,16
the undead and monster classics,gory,16
the undead and monster classics,gruesome,16
gory,and slasher horror,16
gory,gory,16
gory,gruesome,16
gruesome,and slasher horror,16
gruesome,gory,16
gruesome,gruesome,16
and slasher horror,and slasher horror,16
and slasher horror,gory,16
and slasher horror,gruesome,16
faith and spiritual journeys,drama,15
thriller,the undead and monster classics,15
superheroes in action-packed battles with villains,thriller,15
dazzling vocal performances and musicals,comedy,15
gothic and eerie haunting horror,thriller,15
gothic and eerie haunting horror,twisted dark psychological thriller,15
laugh-out-loud relationship entanglements,romance,15
epic heroes,science fiction,15
explosive and action-packed heroes vs. villains,comedy,15
exciting spy thrillers with tense intrigue,action,15
action,epic heroes,15
epic heroes,epic heroes,15
sci-fi horror,the undead and monster classics,14
creatures,the undead and monster classics,14
and aliens,the undead and monster classics,14
comedy,moving relationship stories,14
charming romances and delightful chemistry,romance,14
animation,action,14
monsters,action,14
aliens,action,14
sci-fi and the apocalypse,action,14
heists and thrilling action,comedy,14
graphic violence and brutal revenge,horror,14
intense violence and sexual transgression,crime,13
quirky and endearing relationships,crude humor and satire,13
humanity and the world around us,comedy,13
captivating relationships and charming romance,comedy,13
imaginative space odysseys and alien encounters,drama,13
disastrous voyages and heroic survival,drama,13
creepy,twisted dark psychological thriller,13
chilling,twisted dark psychological thriller,13
and terrifying horror,twisted dark psychological thriller,13
student coming-of-age challenges,comedy,13
quirky and endearing relationships,romance,13
adrenaline-fueled action and fast cars,comedy,13
drama,horror,13
mystery,the undead and monster classics,13
fantasy,adventure,13
captivating relationships and charming romance,moving relationship stories,13
terrifying,and slasher horror,13
terrifying,gory,13
terrifying,gruesome,13
haunted,and slasher horror,13
haunted,gory,13
haunted,gruesome,13
and supernatural horror,and slasher horror,13
and supernatural horror,gory,13
and supernatural horror,gruesome,13
brutal,crime,12
violent prison drama,crime,12
thriller,twisted dark psychological thriller,12
captivating relationships and charming romance,romance,12
passion and romance,romance,12
touching and sentimental family stories,romance,12
chilling experiments and classic monster horror,drama,12
action comedy and silly heroics,thriller,12
crude humor and satire,horror,12
surreal and thought-provoking visions of life and death,comedy,12
comedy,and slapstick humor,12
comedy,gags,12
comedy,jokes,12
crude humor and satire,and slapstick humor,12
crude humor and satire,gags,12
crude humor and satire,jokes,12
gags,and slapstick humor,12
gags,gags,12
gags,jokes,12
jokes,and slapstick humor,12
jokes,gags,12
jokes,jokes,12
