label,precision,recall,f1,support,TP,FP,FN,TN
drama,0.6633435582822086,0.8719758064516129,0.7534843205574913,992,865,439,127,579
comedy,0.8068459657701712,0.49698795180722893,0.6150978564771669,664,330,79,334,1267
thriller,0.7909090909090909,0.19205298013245034,0.3090586145648313,453,87,23,366,1534
crude humor and satire,0.8536585365853658,0.09020618556701031,0.16317016317016317,388,35,6,353,1616
moving relationship stories,0.7192982456140351,0.11081081081081082,0.19203747072599534,370,41,16,329,1624
romance,0.7884615384615384,0.11263736263736264,0.1971153846153846,364,41,11,323,1635
horror,0.9224806201550387,0.3371104815864023,0.4937759336099586,353,119,10,234,1647
action,0.8879310344827587,0.31790123456790126,0.4681818181818182,324,103,13,221,1673
gags,0.9230769230769231,0.03986710963455149,0.07643312101910826,301,12,1,289,1708
and slapstick humor,0.9230769230769231,0.03986710963455149,0.07643312101910826,301,12,1,289,1708
jokes,0.9230769230769231,0.03986710963455149,0.07643312101910826,301,12,1,289,1708
adventure,0.9166666666666666,0.0738255033557047,0.13664596273291924,298,22,2,276,1710
crime,0.8333333333333334,0.15901060070671377,0.26706231454005935,283,45,9,238,1718
the undead and monster classics,0.875,0.15789473684210525,0.2675159235668789,266,42,6,224,1738
twisted dark psychological thriller,0.9090909090909091,0.07722007722007722,0.1423487544483986,259,20,2,239,1749
laugh-out-loud relationship entanglements,1.0,0.01937984496124031,0.03802281368821293,258,5,0,253,1752
intense violence and sexual transgression,0.5,0.004132231404958678,0.00819672131147541,242,1,1,241,1767
touching and sentimental family stories,0.7272727272727273,0.03375527426160337,0.06451612903225806,237,8,3,229,1770
haunted,0.9545454545454546,0.08974358974358974,0.1640625,234,21,1,213,1775
and supernatural horror,0.9545454545454546,0.08974358974358974,0.1640625,234,21,1,213,1775
terrifying,0.9545454545454546,0.08974358974358974,0.1640625,234,21,1,213,1775
funny jokes and crude humor,1.0,0.017167381974248927,0.03375527426160338,233,4,0,229,1777
powerful stories of heartbreak and suffering,0.75,0.012875536480686695,0.02531645569620253,233,3,1,230,1776
science fiction,0.9111111111111111,0.17672413793103448,0.2960288808664259,232,41,4,191,1774
fantasy,0.8571428571428571,0.05217391304347826,0.09836065573770492,230,12,2,218,1778
humanity and the world around us,1.0,0.004424778761061947,0.00881057268722467,226,1,0,225,1784
relationship comedy,1.0,0.0045871559633027525,0.0091324200913242,218,1,0,217,1792
gory,1.0,0.08,0.14814814814814814,200,16,0,184,1810
and slasher horror,1.0,0.08,0.14814814814814814,200,16,0,184,1810
gruesome,1.0,0.08,0.14814814814814814,200,16,0,184,1810
epic heroes,0.9375,0.07653061224489796,0.14150943396226418,196,15,1,181,1813
mystery,0.8571428571428571,0.03208556149732621,0.061855670103092786,187,6,1,181,1822
animation,1.0,0.060109289617486336,0.11340206185567009,183,11,0,172,1827
quirky and endearing relationships,0.0,0.0,0.0,181,0,0,181,1829
superheroes in action-packed battles with villains,0.8571428571428571,0.03488372093023256,0.0670391061452514,172,6,1,166,1837
emotional and touching family dramas,0.0,0.0,0.0,170,0,0,170,1840
amusing jokes and witty satire,1.0,0.011834319526627219,0.023391812865497075,169,2,0,167,1841
chilling,1.0,0.02976190476190476,0.05780346820809249,168,5,0,163,1842
and terrifying horror,1.0,0.02976190476190476,0.05780346820809249,168,5,0,163,1842
creepy,1.0,0.02976190476190476,0.05780346820809249,168,5,0,163,1842
family,0.9166666666666666,0.06626506024096386,0.12359550561797752,166,11,1,155,1843
