"Title","URL"
"Kiki's Delivery Service (1989)","https://letterboxd.com/film/kikis-delivery-service/"
"Shaun of the Dead (2004)","https://letterboxd.com/film/shaun-of-the-dead/"
"Babygirl (2024)","https://letterboxd.com/film/babygirl-2024/"
"Suicide Squad (2016)","https://letterboxd.com/film/suicide-squad-2016/"
"Before Sunset (2004)","https://letterboxd.com/film/before-sunset/"
"The Favourite (2018)","https://letterboxd.com/film/the-favourite/"
"All Quiet on the Western Front (2022)","https://letterboxd.com/film/all-quiet-on-the-western-front-2022/"
"Incredibles 2 (2018)","https://letterboxd.com/film/incredibles-2/"
"Trap (2024)","https://letterboxd.com/film/trap-2024/"
"Fallen Angels (1995)","https://letterboxd.com/film/fallen-angels/"
"The Shape of Water (2017)","https://letterboxd.com/film/the-shape-of-water/"
"Star Wars: The Rise of Skywalker (2019)","https://letterboxd.com/film/star-wars-the-rise-of-skywalker/"
"Pretty Woman (1990)","https://letterboxd.com/film/pretty-woman/"
"Train to Busan (2016)","https://letterboxd.com/film/train-to-busan/"
"Perfect Days (2023)","https://letterboxd.com/film/perfect-days-2023/"
"Elvis (2022)","https://letterboxd.com/film/elvis-2022/"
"Halloween (1978)","https://letterboxd.com/film/halloween-1978/"
"Ready or Not (2019)","https://letterboxd.com/film/ready-or-not-2019/"
"Paris, Texas (1984)","https://letterboxd.com/film/paris-texas/"
"Cruella (2021)","https://letterboxd.com/film/cruella/"
"I'm Still Here (2024)","https://letterboxd.com/film/im-still-here-2024/"
"One Flew Over the Cuckoo's Nest (1975)","https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/"
"E.T. the Extra-Terrestrial (1982)","https://letterboxd.com/film/et-the-extra-terrestrial/"
"The Amazing Spider-Man 2 (2014)","https://letterboxd.com/film/the-amazing-spider-man-2/"
"Chungking Express (1994)","https://letterboxd.com/film/chungking-express/"
"Sound of Metal (2019)","https://letterboxd.com/film/sound-of-metal/"
"Love Actually (2003)","https://letterboxd.com/film/love-actually/"
"The Princess Bride (1987)","https://letterboxd.com/film/the-princess-bride/"
"Adolescence (2025)","https://letterboxd.com/film/adolescence-2025/"
"Pan's Labyrinth (2006)","https://letterboxd.com/film/pans-labyrinth/"
"Triangle of Sadness (2022)","https://letterboxd.com/film/triangle-of-sadness/"
"Full Metal Jacket (1987)","https://letterboxd.com/film/full-metal-jacket/"
"Casablanca (1942)","https://letterboxd.com/film/casablanca/"
"Turning Red (2022)","https://letterboxd.com/film/turning-red/"
"The Lego Movie (2014)","https://letterboxd.com/film/the-lego-movie/"
"Pitch Perfect (2012)","https://letterboxd.com/film/pitch-perfect/"
"The Northman (2022)","https://letterboxd.com/film/the-northman/"
"Easy A (2010)","https://letterboxd.com/film/easy-a/"
"The Exorcist (1973)","https://letterboxd.com/film/the-exorcist/"
"But I'm a Cheerleader (1999)","https://letterboxd.com/film/but-im-a-cheerleader/"
"All of Us Strangers (2023)","https://letterboxd.com/film/all-of-us-strangers/"
"How to Train Your Dragon (2025)","https://letterboxd.com/film/how-to-train-your-dragon-2025/"
"Godzilla Minus One (2023)","https://letterboxd.com/film/godzilla-minus-one/"
"Late Night with the Devil (2023)","https://letterboxd.com/film/late-night-with-the-devil/"
"Venom (2018)","https://letterboxd.com/film/venom-2018/"
"John Wick: Chapter 4 (2023)","https://letterboxd.com/film/john-wick-chapter-4/"
"Booksmart (2019)","https://letterboxd.com/film/booksmart/"
"The Killing of a Sacred Deer (2017)","https://letterboxd.com/film/the-killing-of-a-sacred-deer/"
"Joker: Folie à Deux (2024)","https://letterboxd.com/film/joker-folie-a-deux/"
"Squid Game (2021)","https://letterboxd.com/film/squid-game/"
"Mr. & Mrs. Smith (2005)","https://letterboxd.com/film/mr-mrs-smith-2005/"
"mother! (2017)","https://letterboxd.com/film/mother-2017/"
"Green Book (2018)","https://letterboxd.com/film/green-book/"
"The Big Short (2015)","https://letterboxd.com/film/the-big-short/"
"The Princess Diaries (2001)","https://letterboxd.com/film/the-princess-diaries/"
"tick, tick... BOOM! (2021)","https://letterboxd.com/film/tick-tick-boom-2021/"
"White Chicks (2004)","https://letterboxd.com/film/white-chicks/"
"The Texas Chain Saw Massacre (1974)","https://letterboxd.com/film/the-texas-chain-saw-massacre/"
"The Greatest Showman (2017)","https://letterboxd.com/film/the-greatest-showman/"
"Eternals (2021)","https://letterboxd.com/film/eternals/"
"Saw (2004)","https://letterboxd.com/film/saw/"
"Carrie (1976)","https://letterboxd.com/film/carrie-1976/"
"Mulan (1998)","https://letterboxd.com/film/mulan/"
"Licorice Pizza (2021)","https://letterboxd.com/film/licorice-pizza/"
"The Imitation Game (2014)","https://letterboxd.com/film/the-imitation-game/"
"The Irishman (2019)","https://letterboxd.com/film/the-irishman-2019/"
"21 Jump Street (2012)","https://letterboxd.com/film/21-jump-street/"
"Jurassic World Rebirth (2025)","https://letterboxd.com/film/jurassic-world-rebirth/"
"A Star Is Born (2018)","https://letterboxd.com/film/a-star-is-born-2018/"
"School of Rock (2003)","https://letterboxd.com/film/school-of-rock/"
"Grease (1978)","https://letterboxd.com/film/grease/"
"The Maze Runner (2014)","https://letterboxd.com/film/the-maze-runner/"
"Parasite (2019)","https://letterboxd.com/film/parasite-2019/"
"Barbie (2023)","https://letterboxd.com/film/barbie/"
"Interstellar (2014)","https://letterboxd.com/film/interstellar/"
"Fight Club (1999)","https://letterboxd.com/film/fight-club/"
"La La Land (2016)","https://letterboxd.com/film/la-la-land/"
"Everything Everywhere All at Once (2022)","https://letterboxd.com/film/everything-everywhere-all-at-once/"
"Whiplash (2014)","https://letterboxd.com/film/whiplash-2014/"
"Oppenheimer (2023)","https://letterboxd.com/film/oppenheimer-2023/"
"Pulp Fiction (1994)","https://letterboxd.com/film/pulp-fiction/"
"The Truman Show (1998)","https://letterboxd.com/film/the-truman-show/"
"The Substance (2024)","https://letterboxd.com/film/the-substance/"
"Eternal Sunshine of the Spotless Mind (2004)","https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/"
"Joker (2019)","https://letterboxd.com/film/joker-2019/"
"Get Out (2017)","https://letterboxd.com/film/get-out-2017/"
"Dune (2021)","https://letterboxd.com/film/dune-2021/"
"Spider-Man: Into the Spider-Verse (2018)","https://letterboxd.com/film/spider-man-into-the-spider-verse/"
"Midsommar (2019)","https://letterboxd.com/film/midsommar/"
"The Batman (2022)","https://letterboxd.com/film/the-batman/"
"The Dark Knight (2008)","https://letterboxd.com/film/the-dark-knight/"
"Inception (2010)","https://letterboxd.com/film/inception/"
"Sinners (2025)","https://letterboxd.com/film/sinners-2025/"
"American Psycho (2000)","https://letterboxd.com/film/american-psycho/"
"Dead Poets Society (1989)","https://letterboxd.com/film/dead-poets-society/"
"Knives Out (2019)","https://letterboxd.com/film/knives-out-2019/"
"Dune: Part Two (2024)","https://letterboxd.com/film/dune-part-two/"
"10 Things I Hate About You (1999)","https://letterboxd.com/film/10-things-i-hate-about-you/"
"Spider-Man: Across the Spider-Verse (2023)","https://letterboxd.com/film/spider-man-across-the-spider-verse/"
"Spirited Away (2001)","https://letterboxd.com/film/spirited-away/"
"The Wolf of Wall Street (2013)","https://letterboxd.com/film/the-wolf-of-wall-street/"
"Challengers (2024)","https://letterboxd.com/film/challengers/"
"Superman (2025)","https://letterboxd.com/film/superman-2025/"
"Saltburn (2023)","https://letterboxd.com/film/saltburn/"
"Nosferatu (2024)","https://letterboxd.com/film/nosferatu-2024/"
"The Grand Budapest Hotel (2014)","https://letterboxd.com/film/the-grand-budapest-hotel/"
"Se7en (1995)","https://letterboxd.com/film/se7en/"
"Lady Bird (2017)","https://letterboxd.com/film/lady-bird/"
"Black Swan (2010)","https://letterboxd.com/film/black-swan/"
"Poor Things (2023)","https://letterboxd.com/film/poor-things-2023/"
"Forrest Gump (1994)","https://letterboxd.com/film/forrest-gump/"
"Inglourious Basterds (2009)","https://letterboxd.com/film/inglourious-basterds/"
"The Shining (1980)","https://letterboxd.com/film/the-shining/"
"The Menu (2022)","https://letterboxd.com/film/the-menu-2022/"
"Gone Girl (2014)","https://letterboxd.com/film/gone-girl/"
"Anora (2024)","https://letterboxd.com/film/anora/"
"Little Women (2019)","https://letterboxd.com/film/little-women-2019/"
"Spider-Man: No Way Home (2021)","https://letterboxd.com/film/spider-man-no-way-home/"
"Once Upon a Time... in Hollywood (2019)","https://letterboxd.com/film/once-upon-a-time-in-hollywood/"
"Good Will Hunting (1997)","https://letterboxd.com/film/good-will-hunting/"
"The Silence of the Lambs (1991)","https://letterboxd.com/film/the-silence-of-the-lambs/"
"Call Me by Your Name (2017)","https://letterboxd.com/film/call-me-by-your-name/"
"(500) Days of Summer (2009)","https://letterboxd.com/film/500-days-of-summer/"
"Kill Bill: Vol. 1 (2003)","https://letterboxd.com/film/kill-bill-vol-1/"
"Shutter Island (2010)","https://letterboxd.com/film/shutter-island/"
"The Godfather (1972)","https://letterboxd.com/film/the-godfather/"
"Fantastic Mr. Fox (2009)","https://letterboxd.com/film/fantastic-mr-fox/"
"Ratatouille (2007)","https://letterboxd.com/film/ratatouille/"
"The Perks of Being a Wallflower (2012)","https://letterboxd.com/film/the-perks-of-being-a-wallflower/"
"Wicked (2024)","https://letterboxd.com/film/wicked-2024/"
"Django Unchained (2012)","https://letterboxd.com/film/django-unchained/"
"Avengers: Infinity War (2018)","https://letterboxd.com/film/avengers-infinity-war/"
"Avengers: Endgame (2019)","https://letterboxd.com/film/avengers-endgame/"
"Baby Driver (2017)","https://letterboxd.com/film/baby-driver/"
"Deadpool & Wolverine (2024)","https://letterboxd.com/film/deadpool-wolverine/"
"Hereditary (2018)","https://letterboxd.com/film/hereditary/"
"The Matrix (1999)","https://letterboxd.com/film/the-matrix/"
"The Shawshank Redemption (1994)","https://letterboxd.com/film/the-shawshank-redemption/"
"Taxi Driver (1976)","https://letterboxd.com/film/taxi-driver/"
"The Social Network (2010)","https://letterboxd.com/film/the-social-network/"
"Inside Out 2 (2024)","https://letterboxd.com/film/inside-out-2-2024/"
"Scott Pilgrim vs. the World (2010)","https://letterboxd.com/film/scott-pilgrim-vs-the-world/"
"Her (2013)","https://letterboxd.com/film/her/"
"Mickey 17 (2025)","https://letterboxd.com/film/mickey-17/"
"Men in Black (1997)","https://letterboxd.com/film/men-in-black/"
"Dazed and Confused (1993)","https://letterboxd.com/film/dazed-and-confused/"
"Incendies (2010)","https://letterboxd.com/film/incendies/"
"Bridget Jones's Diary (2001)","https://letterboxd.com/film/bridget-joness-diary/"
"Minari (2020)","https://letterboxd.com/film/minari/"
"Fresh (2022)","https://letterboxd.com/film/fresh-2022/"
"Gravity (2013)","https://letterboxd.com/film/gravity-2013/"
"Guillermo del Toro's Pinocchio (2022)","https://letterboxd.com/film/guillermo-del-toros-pinocchio/"
"Seven Samurai (1954)","https://letterboxd.com/film/seven-samurai/"
"Jumanji: Welcome to the Jungle (2017)","https://letterboxd.com/film/jumanji-welcome-to-the-jungle/"
"12 Years a Slave (2013)","https://letterboxd.com/film/12-years-a-slave/"
"Dirty Dancing (1987)","https://letterboxd.com/film/dirty-dancing/"
"Room (2015)","https://letterboxd.com/film/room-2015/"
"Emilia Pérez (2024)","https://letterboxd.com/film/emilia-perez/"
"Mission: Impossible (1996)","https://letterboxd.com/film/mission-impossible/"
